scenario,profile,method,ticker,weight
confidence_scale_1.0,Kelly_Growth,MaxSharpe,VAS.AX,0.0
confidence_scale_1.0,Kelly_Growth,MaxSharpe,VSO.AX,0.0
confidence_scale_1.0,Kelly_Growth,MaxSharpe,VHY.AX,0.08679994224208012
confidence_scale_1.0,Kelly_Growth,MaxSharpe,VAP.AX,0.0
confidence_scale_1.0,Kelly_Growth,MaxSharpe,VGS.AX,0.29999999999999993
confidence_scale_1.0,Kelly_Growth,MaxSharpe,VGAD.AX,0.09857910355121195
confidence_scale_1.0,Kelly_Growth,MaxSharpe,VGE.AX,0.07621445868646318
confidence_scale_1.0,Kelly_Growth,MaxSharpe,VAF.AX,0.24698201006651158
confidence_scale_1.0,Kelly_Growth,MaxSharpe,VBND.AX,0.09142448545373326
confidence_scale_1.0,Kelly_Growth,MaxSharpe,QAU.AX,0.09999999999999999
confidence_scale_1.4,Trustee_Conservative,MeanVariance,VAS.AX,0.0
confidence_scale_1.4,Trustee_Conservative,MeanVariance,VSO.AX,0.0
confidence_scale_1.4,Trustee_Conservative,MeanVariance,VHY.AX,0.1075453902000194
confidence_scale_1.4,Trustee_Conservative,MeanVariance,VAP.AX,0.01885834922282691
confidence_scale_1.4,Trustee_Conservative,MeanVariance,VGS.AX,0.30000000000000004
confidence_scale_1.4,Trustee_Conservative,MeanVariance,VGAD.AX,0.19221625498578432
confidence_scale_1.4,Trustee_Conservative,MeanVariance,VGE.AX,0.031380005591369296
confidence_scale_1.4,Trustee_Conservative,MeanVariance,VAF.AX,0.22353250694592916
confidence_scale_1.4,Trustee_Conservative,MeanVariance,VBND.AX,0.02646749305407088
confidence_scale_1.4,Trustee_Conservative,MeanVariance,QAU.AX,0.10000000000000002
confidence_scale_1.4,Trustee_Conservative,MaxSharpe,VAS.AX,0.0
confidence_scale_1.4,Trustee_Conservative,MaxSharpe,VSO.AX,0.0
confidence_scale_1.4,Trustee_Conservative,MaxSharpe,VHY.AX,0.08961069479037241
confidence_scale_1.4,Trustee_Conservative,MaxSharpe,VAP.AX,0.0
confidence_scale_1.4,Trustee_Conservative,MaxSharpe,VGS.AX,0.30000000000000004
confidence_scale_1.4,Trustee_Conservative,MaxSharpe,VGAD.AX,0.09546258667964949
confidence_scale_1.4,Trustee_Conservative,MaxSharpe,VGE.AX,0.02924831585943381
confidence_scale_1.4,Trustee_Conservative,MaxSharpe,VAF.AX,0.2735610891177651
confidence_scale_1.4,Trustee_Conservative,MaxSharpe,VBND.AX,0.11211731355277918
confidence_scale_1.4,Trustee_Conservative,MaxSharpe,QAU.AX,0.10000000000000002
confidence_scale_1.4,Market_Balanced,MeanVariance,VAS.AX,0.0
confidence_scale_1.4,Market_Balanced,MeanVariance,VSO.AX,0.08053540696517555
confidence_scale_1.4,Market_Balanced,MeanVariance,VHY.AX,0.11270195098157262
confidence_scale_1.4,Market_Balanced,MeanVariance,VAP.AX,0.025252065623664173
confidence_scale_1.4,Market_Balanced,MeanVariance,VGS.AX,0.3
confidence_scale_1.4,Market_Balanced,MeanVariance,VGAD.AX,0.3
confidence_scale_1.4,Market_Balanced,MeanVariance,VGE.AX,0.0053848696681549745
confidence_scale_1.4,Market_Balanced,MeanVariance,VAF.AX,0.10000000000000009
confidence_scale_1.4,Market_Balanced,MeanVariance,VBND.AX,0.0
confidence_scale_1.4,Market_Balanced,MeanVariance,QAU.AX,0.07612570676143267
confidence_scale_1.4,Market_Balanced,MaxSharpe,VAS.AX,0.0
confidence_scale_1.4,Market_Balanced,MaxSharpe,VSO.AX,0.0
confidence_scale_1.4,Market_Balanced,MaxSharpe,VHY.AX,0.11201815982619258
confidence_scale_1.4,Market_Balanced,MaxSharpe,VAP.AX,0.0
confidence_scale_1.4,Market_Balanced,MaxSharpe,VGS.AX,0.30000000000000004
confidence_scale_1.4,Market_Balanced,MaxSharpe,VGAD.AX,0.10488252004001739
confidence_scale_1.4,Market_Balanced,MaxSharpe,VGE.AX,0.06053470265866611
confidence_scale_1.4,Market_Balanced,MaxSharpe,VAF.AX,0.23671118359029075
confidence_scale_1.4,Market_Balanced,MaxSharpe,VBND.AX,0.08585343388483319
confidence_scale_1.4,Market_Balanced,MaxSharpe,QAU.AX,0.10000000000000003
confidence_scale_1.4,Kelly_Growth,MeanVariance,VAS.AX,0.0
confidence_scale_1.4,Kelly_Growth,MeanVariance,VSO.AX,0.1000000000000001
confidence_scale_1.4,Kelly_Growth,MeanVariance,VHY.AX,0.16999999999999954
confidence_scale_1.4,Kelly_Growth,MeanVariance,VAP.AX,0.08000000000000008
confidence_scale_1.4,Kelly_Growth,MeanVariance,VGS.AX,0.3000000000000002
confidence_scale_1.4,Kelly_Growth,MeanVariance,VGAD.AX,0.3000000000000001
confidence_scale_1.4,Kelly_Growth,MeanVariance,VGE.AX,0.0
confidence_scale_1.4,Kelly_Growth,MeanVariance,VAF.AX,0.04999999999999987
