scenario,profile,ticker,posterior_return
shrinkage_0.3,Trustee_Conservative,VBND.AX,0.007636456470002356
shrinkage_0.3,Trustee_Conservative,QAU.AX,0.030555750110699522
shrinkage_0.3,Market_Balanced,VAS.AX,0.04374821583490322
shrinkage_0.3,Market_Balanced,VSO.AX,0.05358171167607815
shrinkage_0.3,Market_Balanced,VHY.AX,0.04597622571245391
shrinkage_0.3,Market_Balanced,VAP.AX,0.05490597218323568
shrinkage_0.3,Market_Balanced,VGS.AX,0.058338692838075225
shrinkage_0.3,Market_Balanced,VGAD.AX,0.060749383543047986
shrinkage_0.3,Market_Balanced,VGE.AX,0.03411314956249843
shrinkage_0.3,Market_Balanced,VAF.AX,0.0038856796664984974
shrinkage_0.3,Market_Balanced,VBND.AX,0.004103099283427129
shrinkage_0.3,Market_Balanced,QAU.AX,0.025707712703318918
shrinkage_0.3,Kelly_Growth,VAS.AX,0.02988823242052582
shrinkage_0.3,Kelly_Growth,VSO.AX,0.0384968263244965
shrinkage_0.3,Kelly_Growth,VHY.AX,0.03291725729643455
shrinkage_0.3,Kelly_Growth,VAP.AX,0.037197542655916745
shrinkage_0.3,Kelly_Growth,VGS.AX,0.04886961498403913
shrinkage_0.3,Kelly_Growth,VGAD.AX,0.04447993953849116
shrinkage_0.3,Kelly_Growth,VGE.AX,0.02630834172390854
shrinkage_0.3,Kelly_Growth,VAF.AX,0.0024651429295173897
shrinkage_0.3,Kelly_Growth,VBND.AX,0.0025669255406297184
shrinkage_0.3,Kelly_Growth,QAU.AX,0.022488241017999115
