portfolio,profile,view_scenario,method,ticker,risk_contribution
Kelly_Growth_Combined_MaxSharpe,Kelly_Growth,Combined,MaxSharpe,VGS.AX,0.4555916774185155
Kelly_Growth_Combined_MaxSharpe,Kelly_Growth,Combined,MaxSharpe,VGAD.AX,0.1948091249691562
Kelly_Growth_Combined_MaxSharpe,Kelly_Growth,Combined,MaxSharpe,VGE.AX,0.09203283239133603
Kelly_Growth_Combined_MaxSharpe,Kelly_Growth,Combined,MaxSharpe,VAF.AX,0.04854697649583065
Kelly_Growth_Combined_MaxSharpe,Kelly_Growth,Combined,MaxSharpe,VBND.AX,0.017527941583112303
Kelly_Growth_Combined_MaxSharpe,Kelly_Growth,Combined,MaxSharpe,QAU.AX,0.07144511203265465
Kelly_Growth_Combined_Benchmark,Kelly_Growth,Combined,Benchmark,VAS.AX,0.29521810184088
Kelly_Growth_Combined_Benchmark,Kelly_Growth,Combined,Benchmark,VSO.AX,0.10467841754902547
Kelly_Growth_Combined_Benchmark,Kelly_Growth,Combined,Benchmark,VHY.AX,0.0315289314035239
Kelly_Growth_Combined_Benchmark,Kelly_Growth,Combined,Benchmark,VAP.AX,0.06709805162384462
Kelly_Growth_Combined_Benchmark,Kelly_Growth,Combined,Benchmark,VGS.AX,0.3148367879032833
Kelly_Growth_Combined_Benchmark,Kelly_Growth,Combined,Benchmark,VGAD.AX,0.09037302911064352
Kelly_Growth_Combined_Benchmark,Kelly_Growth,Combined,Benchmark,VGE.AX,0.07990388012547205
Kelly_Growth_Combined_Benchmark,Kelly_Growth,Combined,Benchmark,VAF.AX,0.0021804396344749667
Kelly_Growth_Combined_Benchmark,Kelly_Growth,Combined,Benchmark,VBND.AX,0.0017685363690005517
Kelly_Growth_Combined_Benchmark,Kelly_Growth,Combined,Benchmark,QAU.AX,0.012413824439851737
